Type,From,To,Callsign,Number,Aircraft,Company,Scheduled
Departure,MDW,BED,N125XP,N1 25XP,Hawker 800,Unknown/Private owner,2025-12-30T11:18:00Z
Departure,MDW,TEB,LN125XP,LN 125XP,Hawker 800,Libyan Airlines,2025-12-30T11:18:00Z
Departure,MDW,HOU,SWA2583,WN 2583,Boeing 737 MAX 8,Southwest,2025-12-30T11:00:00Z
Departure,MDW,LAS,SWA4123,WN 4123,Boeing 737 MAX 8,Southwest,2025-12-30T11:10:00Z
Departure,MDW,DEN,SWA1418,WN 1418,Boeing 737-700,Southwest,2025-12-30T11:15:00Z
Departure,MDW,HPN,EJA646,1I 646,Cessna 680A Citation Latitude,NetJets Aviation,2025-12-30T10:42:00Z
Departure,MDW,DAL,SWA2464,WN 2464,Boeing 737 MAX 8,Southwest,2025-12-30T11:20:00Z
Departure,MDW,MCO,SWA1082,WN 1082,Boeing 737-800,Southwest,2025-12-30T11:20:00Z
Departure,MDW,BNA,SWA1044,WN 1044,Boeing 737-800,Southwest,2025-12-30T11:25:00Z
Departure,MDW,BOS,SWA4825,WN 4825,Boeing 737 MAX 8,Southwest,2025-12-30T11:30:00Z
Departure,MDW,PHX,SWA1694,WN 1694,Boeing 737-800,Southwest,2025-12-30T11:00:00Z
Departure,MDW,BWI,SWA1711,WN 1711,Boeing 737 MAX 8,Southwest,2025-12-30T11:45:00Z
Departure,MDW,DCA,SWA2395,WN 2395,Boeing 737-700,Southwest,2025-12-30T11:50:00Z
Departure,MDW,FLL,SWA3705,WN 3705,Boeing 737-700,Southwest,2025-12-30T11:55:00Z
Departure,MDW,LAX,SWA2159,WN 2159,Boeing 737-800,Southwest,2025-12-30T11:45:00Z
Departure,MDW,TPA,SWA3792,WN 3792,Boeing 737-700,Southwest,2025-12-30T11:10:00Z
Departure,MDW,CLE,EJA507,1I 507,Cessna 680A Citation Latitude,NetJets Aviation,2025-12-30T12:24:00Z
Departure,MDW,PHL,SWA3855,WN 3855,Boeing 737-800,Southwest,2025-12-30T12:15:00Z
Departure,MDW,ATL,DAL1285,DL 1285,Boeing 717,Delta Air Lines,2025-12-30T12:00:00Z
Departure,MDW,MCI,SWA3513,WN 3513,Boeing 737-700,Southwest,2025-12-30T12:00:00Z
Departure,MDW,SAN,SWA203,WN 203,Boeing 737-800,Southwest,2025-12-30T12:05:00Z
Departure,MDW,ATL,FFT2292,F9 2292,Airbus A321 (Sharklets),Frontier,2025-12-30T12:14:00Z
Departure,MDW,LGA,SWA3719,WN 3719,Boeing 737 MAX 8,Southwest,2025-12-30T12:10:00Z
Departure,MDW,SUS,EJA542,1I 542,Cessna 680A Citation Latitude,NetJets Aviation,2025-12-30T12:36:00Z
Departure,MDW,TVC,EJA267,1I 267,Bombardier Challenger 600,NetJets Aviation,2025-12-30T12:30:00Z
Departure,MDW,RSW,SWA3770,WN 3770,Boeing 737 MAX 8,Southwest,2025-12-30T12:55:00Z
Departure,MDW,FCM,EJA739,1I 739,Bombardier Challenger 350,NetJets Aviation,2025-12-30T13:06:00Z
Departure,MDW,LAS,SWA2251,WN 2251,Boeing 737,Southwest,2025-12-30T13:20:00Z
Departure,MDW,BHM,SWA894,WN 894,Boeing 737 MAX 8,Southwest,2025-12-30T13:45:00Z
Departure,MDW,OMA,SWA1186,WN 1186,Boeing 737 MAX 8,Southwest,2025-12-30T13:45:00Z
Departure,MDW,MCO,SWA1523,WN 1523,Boeing 737-800,Southwest,2025-12-30T13:40:00Z
Departure,MDW,DFW,FFT1887,F9 1887,Airbus A320 (Sharklets),Frontier,2025-12-30T14:00:00Z
Departure,MDW,DFW,FFT1887,F9 1887,Airbus A320 (Sharklets),Frontier,2025-12-30T14:00:00Z
Departure,MDW,ASE,LXJ320,LXJ 320,E545,Flexjet,2025-12-30T13:00:00Z
Departure,MDW,STL,SWA2591,WN 2591,Boeing 737-700,Southwest,2025-12-30T13:55:00Z
Departure,MDW,MSY,SWA2232,WN 2232,Boeing 737 MAX 8,Southwest,2025-12-30T13:45:00Z
Departure,MDW,SLC,SWA1470,WN 1470,Boeing 737-800,Southwest,2025-12-30T13:45:00Z
Departure,MDW,ATL,SWA862,WN 862,Boeing 737-800,Southwest,2025-12-30T12:30:00Z
Departure,MDW,MSP,SWA1983,WN 1983,Boeing 737-700,Southwest,2025-12-30T13:50:00Z
Departure,MDW,OAK,SWA2376,WN 2376,Boeing 737 MAX 8,Southwest,2025-12-30T13:50:00Z
Departure,MDW,TUS,SWA3895,WN 3895,Boeing 737-800,Southwest,2025-12-30T14:00:00Z
Departure,MDW,SJC,SWA781,WN 781,Boeing 737 MAX 8,Southwest,2025-12-30T14:00:00Z
Departure,MDW,SAT,SWA424,WN 424,Boeing 737 MAX 8,Southwest,2025-12-30T13:45:00Z
Departure,MDW,MEM,SWA1646,WN 1646,Boeing 737-700,Southwest,2025-12-30T13:50:00Z
Departure,MDW,HOU,SWA3709,WN 3709,Boeing 737-800,Southwest,2025-12-30T14:05:00Z
Departure,MDW,SLN,N817BA,N8 17BA,Beech B200 Super King Air,Unknown/Private owner,2025-12-30T14:30:00Z
