Type,Company,Number,Airport,Date,Scheduled,Updated,Gate
Departure,Southwest Airlines,3697,Denver Intl (DEN),12/19/2025,8:00 AM,11:56 AM,B11
Arrival,Southwest Airlines,1752,Baltimore-Washington Intl (BWI),12/18/2025,8:50 AM,8:47 AM,B1
Arrival,Delta Air Lines,4858,Detroit Metropolitan (DTW),12/18/2025,8:54 AM,8:48 AM,A5
Departure,Southwest Airlines,3793,Tampa Intl (TPA),12/18/2025,9:00 AM,9:05 AM,B19
Departure,Southwest Airlines,984,Philadelphia Intl (PHL),12/18/2025,9:05 AM,9:09 AM,B17
Departure,Southwest Airlines,3222,Lambert / St Louis Intl (STL),12/18/2025,9:05 AM,9:16 AM,B9
Departure,Southwest Airlines,339,Ronald Reagan / Washington National (DCA),12/18/2025,9:15 AM,9:36 AM,A16
Arrival,Delta Air Lines,3543,Minneapolis St Paul Intl (MSP),12/18/2025,9:19 AM,9:32 AM,A7
Arrival,Allegiant Air,898,Charlotte County (PGD),12/18/2025,9:23 AM,9:02 AM,A12
Departure,Southwest Airlines,2323,Los Angeles Intl (LAX),12/18/2025,9:25 AM,9:34 AM,B15
Departure,Southwest Airlines,3635,Harry Reid Intl (LAS),12/18/2025,9:25 AM,9:45 AM,A4A
Departure,Southwest Airlines,3692,Dallas / Love Field (DAL),12/18/2025,9:25 AM,9:31 AM,B24
Departure,Southwest Airlines,2049,Phoenix Sky Harbor Intl (PHX),12/18/2025,9:25 AM,9:40 AM,B22
Departure,Southwest Airlines,1340,Louisville Intl (SDF),12/18/2025,9:30 AM,9:41 AM,B12
Departure,Southwest Airlines,1989,John Glenn Columbus Intl (CMH),12/18/2025,9:30 AM,9:37 AM,B2
Departure,Southwest Airlines,2825,Gerald R. Ford Intl (GRR),12/18/2025,9:30 AM,9:48 AM,A15
Departure,Southwest Airlines,3528,Charlotte Douglas Intl (CLT),12/18/2025,9:30 AM,9:50 AM,B14
Departure,Southwest Airlines,3736,Miami Intl (MIA),12/18/2025,9:30 AM,9:38 AM,A18
Departure,Southwest Airlines,4498,Buffalo Niagara Intl (BUF),12/18/2025,9:30 AM,9:42 AM,B25
Departure,Delta Air Lines,4858,Detroit Metropolitan (DTW),12/18/2025,9:34 AM,9:33 AM,A5
Arrival,Southwest Airlines,1522,Dallas / Love Field (DAL),12/18/2025,9:35 AM,9:13 AM,A17
Arrival,Southwest Airlines,139,Phoenix Sky Harbor Intl (PHX),12/18/2025,9:35 AM,9:30 AM,A9
Departure,Southwest Airlines,1743,Baltimore-Washington Intl (BWI),12/18/2025,9:35 AM,9:31 AM,B1
Departure,Southwest Airlines,3678,Logan Intl (BOS),12/18/2025,9:35 AM,9:28 AM,B26
Departure,Southwest Airlines,3769,Richmond Intl (RIC),12/18/2025,9:35 AM,9:53 AM,A11
Arrival,Volaris,5978,Don Miguel Hidalgo Y Costilla Intl (GDL),12/18/2025,9:40 AM,9:29 AM,
Departure,Southwest Airlines,2155,Pittsburgh Intl (PIT),12/18/2025,9:40 AM,9:49 AM,A19
Departure,Southwest Airlines,3454,Cleveland Hopkins Intl (CLE),12/18/2025,9:40 AM,9:52 AM,B21
Departure,Southwest Airlines,3702,Detroit Metropolitan (DTW),12/18/2025,9:40 AM,9:51 AM,B11
Departure,Southwest Airlines,1108,Raleigh-Durham Intl (RDU),12/18/2025,9:45 AM,9:39 AM,B23
Arrival,Delta Air Lines,1063,Hartsfield Atlanta Intl (ATL),12/18/2025,9:54 AM,9:32 AM,A5
